Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 10.966 10.966 10.966 10.966 10.966 10.966 10.966 10.966 10.049 9.511 9.044 8.593 8.136 7.661 7.157 6.612 6.013 5.335 4.552 3.572 2.171 0.000 0.000 0.000 0.000
    1 10.964 10.964 10.964 10.964 10.964 10.964 10.964 10.964 10.025 9.500 9.037 8.588 8.136 7.664 7.162 6.620 6.028 5.361 4.582 3.618 2.263 0.000 0.000 0.000 0.000
    2 10.962 10.962 10.962 10.962 10.962 10.962 10.962 10.962 10.017 9.495 9.036 8.590 8.140 7.668 7.169 6.627 6.035 5.365 4.582 3.622 2.259 0.000 0.000 0.000 0.000
    3 10.960 10.960 10.960 10.960 10.960 10.960 10.960 10.960 10.021 9.501 9.047 8.598 8.146 7.673 7.172 6.627 6.027 5.350 4.555 3.575 2.157 0.000 0.000 0.000 0.000
    4 10.959 10.959 10.959 10.959 10.959 10.959 10.959 10.959 10.039 9.519 9.060 8.614 8.157 7.681 7.174 6.622 6.013 5.321 4.504 3.480 1.948 0.000 0.000 0.000 0.000
    5 10.958 10.958 10.958 10.958 10.958 10.958 10.958 10.958 10.068 9.543 9.082 8.633 8.176 7.696 7.180 6.616 5.993 5.277 4.426 3.342 1.627 0.000 0.000 0.000 0.000
    6 10.957 10.957 10.957 10.957 10.957 10.957 10.957 10.957 10.103 9.571 9.110 8.659 8.194 7.708 7.183 6.607 5.964 5.219 4.326 3.146 0.984 0.000 0.000 0.000 0.000
    7 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.145 9.605 9.138 8.685 8.215 7.724 7.190 6.601 5.935 5.154 4.204 2.903 0.000 0.000 0.000 0.000 0.000
    8 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.187 9.639 9.170 8.712 8.243 7.743 7.198 6.596 5.906 5.093 4.071 2.610 0.000 0.000 0.000 0.000 0.000
    9 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.230 9.668 9.197 8.737 8.265 7.758 7.209 6.592 5.882 5.033 3.943 2.297 0.000 0.000 0.000 0.000 0.000
   10 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.263 9.693 9.218 8.755 8.281 7.773 7.216 6.589 5.862 4.985 3.834 1.987 0.000 0.000 0.000 0.000 0.000
   11 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.285 9.707 9.230 8.768 8.291 7.781 7.221 6.588 5.851 4.955 3.775 1.782 0.000 0.000 0.000 0.000 0.000
   12 10.957 10.957 10.957 10.957 10.957 10.957 10.957 10.957 10.293 9.712 9.233 8.768 8.291 7.778 7.218 6.585 5.845 4.946 3.761 1.753 0.000 0.000 0.000 0.000 0.000
   13 10.958 10.958 10.958 10.958 10.958 10.958 10.958 10.958 10.289 9.705 9.223 8.759 8.279 7.772 7.209 6.579 5.849 4.964 3.806 1.922 0.000 0.000 0.000 0.000 0.000
   14 10.959 10.959 10.959 10.959 10.959 10.959 10.959 10.959 10.270 9.687 9.208 8.739 8.262 7.754 7.197 6.574 5.857 5.001 3.896 2.202 0.000 0.000 0.000 0.000 0.000
   15 10.961 10.961 10.961 10.961 10.961 10.961 10.961 10.961 10.243 9.663 9.182 8.717 8.240 7.733 7.184 6.574 5.874 5.050 4.009 2.504 0.000 0.000 0.000 0.000 0.000
   16 10.963 10.963 10.963 10.963 10.963 10.963 10.963 10.963 10.209 9.637 9.156 8.689 8.212 7.712 7.170 6.572 5.895 5.103 4.127 2.790 0.000 0.000 0.000 0.000 0.000
   17 10.965 10.965 10.965 10.965 10.965 10.965 10.965 10.965 10.175 9.608 9.126 8.662 8.190 7.693 7.160 6.574 5.917 5.158 4.246 3.026 0.411 0.000 0.000 0.000 0.000
   18 10.967 10.967 10.967 10.967 10.967 10.967 10.967 10.967 10.145 9.582 9.101 8.638 8.169 7.675 7.150 6.577 5.941 5.213 4.340 3.215 1.309 0.000 0.000 0.000 0.000
   19 10.970 10.970 10.970 10.970 10.970 10.970 10.970 10.970 10.124 9.559 9.079 8.617 8.150 7.661 7.142 6.581 5.959 5.253 4.417 3.361 1.718 0.000 0.000 0.000 0.000
   20 10.972 10.972 10.972 10.972 10.972 10.972 10.972 10.972 10.111 9.546 9.065 8.602 8.135 7.652 7.139 6.585 5.968 5.277 4.467 3.455 1.952 0.000 0.000 0.000 0.000
   21 10.975 10.975 10.975 10.975 10.975 10.975 10.975 10.975 10.110 9.539 9.058 8.593 8.127 7.643 7.133 6.579 5.976 5.291 4.493 3.505 2.066 0.000 0.000 0.000 0.000
   22 10.978 10.978 10.978 10.978 10.978 10.978 10.978 10.978 10.124 9.544 9.057 8.590 8.123 7.637 7.127 6.576 5.969 5.289 4.494 3.507 2.076 0.000 0.000 0.000 0.000
   23 10.981 10.981 10.981 10.981 10.981 10.981 10.981 10.981 10.151 9.557 9.065 8.594 8.122 7.636 7.117 6.562 5.953 5.265 4.463 3.467 1.994 0.000 0.000 0.000 0.000
   24 10.983 10.983 10.983 10.983 10.983 10.983 10.983 10.983 10.195 9.581 9.079 8.603 8.126 7.632 7.110 6.550 5.927 5.228 4.407 3.375 1.809 0.000 0.000 0.000 0.000
   25 10.985 10.985 10.985 10.985 10.985 10.985 10.985 10.985 10.252 9.616 9.102 8.619 8.135 7.636 7.105 6.532 5.896 5.175 4.328 3.244 1.487 0.000 0.000 0.000 0.000
   26 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.325 9.655 9.133 8.641 8.152 7.639 7.097 6.511 5.858 5.109 4.224 3.064 0.945 0.000 0.000 0.000 0.000
   27 10.989 10.989 10.989 10.989 10.989 10.989 10.989 10.989 10.409 9.701 9.167 8.666 8.170 7.649 7.095 6.490 5.820 5.040 4.101 2.837 0.000 0.000 0.000 0.000 0.000
   28 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.506 9.746 9.204 8.696 8.190 7.661 7.095 6.475 5.778 4.965 3.962 2.557 0.000 0.000 0.000 0.000 0.000
   29 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.608 9.791 9.238 8.726 8.212 7.675 7.100 6.464 5.741 4.889 3.818 2.232 0.000 0.000 0.000 0.000 0.000
   30 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.712 9.828 9.267 8.752 8.233 7.694 7.107 6.456 5.712 4.824 3.685 1.874 0.000 0.000 0.000 0.000 0.000
   31 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.990 10.805 9.854 9.289 8.772 8.253 7.708 7.116 6.455 5.691 4.774 3.571 1.538 0.000 0.000 0.000 0.000 0.000
   32 10.988 10.988 10.988 10.988 10.988 10.988 10.988 10.988 10.852 9.866 9.305 8.786 8.265 7.719 7.124 6.460 5.686 4.748 3.499 1.220 0.000 0.000 0.000 0.000 0.000
   33 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.807 9.863 9.306 8.792 8.273 7.725 7.133 6.463 5.692 4.743 3.475 1.075 0.000 0.000 0.000 0.000 0.000
   34 10.984 10.984 10.984 10.984 10.984 10.984 10.984 10.984 10.714 9.848 9.298 8.786 8.272 7.729 7.140 6.472 5.705 4.763 3.510 1.154 0.000 0.000 0.000 0.000 0.000
   35 10.981 10.981 10.981 10.981 10.981 10.981 10.981 10.981 10.610 9.819 9.278 8.775 8.266 7.729 7.143 6.488 5.728 4.811 3.593 1.455 0.000 0.000 0.000 0.000 0.000
   36 10.978 10.978 10.978 10.978 10.978 10.978 10.978 10.978 10.511 9.780 9.254 8.758 8.254 7.722 7.145 6.502 5.759 4.867 3.709 1.817 0.000 0.000 0.000 0.000 0.000
   37 10.975 10.975 10.975 10.975 10.975 10.975 10.975 10.975 10.415 9.739 9.224 8.733 8.238 7.717 7.149 6.519 5.799 4.936 3.839 2.164 0.000 0.000 0.000 0.000 0.000
   38 10.971 10.971 10.971 10.971 10.971 10.971 10.971 10.971 10.330 9.695 9.193 8.712 8.223 7.710 7.150 6.540 5.836 5.012 3.976 2.478 0.000 0.000 0.000 0.000 0.000
   39 10.968 10.968 10.968 10.968 10.968 10.968 10.968 10.968 10.251 9.652 9.160 8.686 8.207 7.702 7.160 6.558 5.879 5.087 4.107 2.750 0.000 0.000 0.000 0.000 0.000
   40 10.964 10.964 10.964 10.964 10.964 10.964 10.964 10.964 10.182 9.611 9.130 8.668 8.196 7.697 7.163 6.577 5.917 5.158 4.223 2.983 0.000 0.000 0.000 0.000 0.000
   41 10.961 10.961 10.961 10.961 10.961 10.961 10.961 10.961 10.122 9.575 9.104 8.646 8.184 7.695 7.171 6.597 5.958 5.220 4.334 3.174 1.089 0.000 0.000 0.000 0.000
   42 10.958 10.958 10.958 10.958 10.958 10.958 10.958 10.958 10.070 9.541 9.080 8.632 8.175 7.692 7.178 6.618 5.992 5.275 4.424 3.336 1.566 0.000 0.000 0.000 0.000
   43 10.955 10.955 10.955 10.955 10.955 10.955 10.955 10.955 10.029 9.514 9.062 8.617 8.165 7.690 7.183 6.631 6.018 5.323 4.502 3.462 1.875 0.000 0.000 0.000 0.000
   44 10.953 10.953 10.953 10.953 10.953 10.953 10.953 10.953 9.997 9.493 9.047 8.607 8.160 7.690 7.189 6.650 6.044 5.363 4.561 3.561 2.088 0.000 0.000 0.000 0.000
   45 10.951 10.951 10.951 10.951 10.951 10.951 10.951 10.951 9.972 9.480 9.035 8.600 8.158 7.694 7.199 6.660 6.064 5.394 4.607 3.631 2.230 0.000 0.000 0.000 0.000
   46 10.949 10.949 10.949 10.949 10.949 10.949 10.949 10.797 9.955 9.468 9.027 8.596 8.154 7.693 7.200 6.668 6.078 5.411 4.636 3.676 2.318 0.000 0.000 0.000 0.000
   47 10.948 10.948 10.948 10.948 10.948 10.948 10.948 10.751 9.948 9.464 9.026 8.595 8.156 7.694 7.205 6.669 6.083 5.420 4.648 3.696 2.350 0.000 0.000 0.000 0.000
   48 10.948 10.948 10.948 10.948 10.948 10.948 10.948 10.746 9.949 9.464 9.028 8.597 8.155 7.696 7.203 6.671 6.085 5.418 4.646 3.691 2.341 0.000 0.000 0.000 0.000
   49 10.948 10.948 10.948 10.948 10.948 10.948 10.948 10.782 9.957 9.472 9.032 8.599 8.159 7.698 7.202 6.669 6.077 5.406 4.623 3.655 2.271 0.000 0.000 0.000 0.000
   50 10.949 10.949 10.949 10.949 10.949 10.949 10.949 10.949 9.974 9.484 9.041 8.608 8.164 7.699 7.201 6.662 6.062 5.385 4.587 3.595 2.143 0.000 0.000 0.000 0.000
   51 10.950 10.950 10.950 10.950 10.950 10.950 10.950 10.950 9.998 9.502 9.055 8.618 8.171 7.704 7.199 6.651 6.042 5.354 4.533 3.501 1.947 0.000 0.000 0.000 0.000
   52 10.952 10.952 10.952 10.952 10.952 10.952 10.952 10.952 10.031 9.526 9.075 8.633 8.179 7.706 7.193 6.638 6.019 5.306 4.462 3.378 1.651 0.000 0.000 0.000 0.000
   53 10.954 10.954 10.954 10.954 10.954 10.954 10.954 10.954 10.074 9.554 9.097 8.650 8.194 7.710 7.191 6.624 5.985 5.253 4.372 3.220 1.229 0.000 0.000 0.000 0.000
   54 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.956 10.123 9.587 9.123 8.673 8.208 7.717 7.189 6.607 5.950 5.194 4.263 3.023 0.000 0.000 0.000 0.000 0.000
   55 10.959 10.959 10.959 10.959 10.959 10.959 10.959 10.959 10.181 9.625 9.154 8.694 8.224 7.725 7.188 6.590 5.913 5.122 4.142 2.785 0.000 0.000 0.000 0.000 0.000
   56 10.961 10.961 10.961 10.961 10.961 10.961 10.961 10.961 10.243 9.663 9.184 8.715 8.241 7.733 7.185 6.574 5.877 5.050 4.009 2.495 0.000 0.000 0.000 0.000 0.000
   57 10.964 10.964 10.964 10.964 10.964 10.964 10.964 10.964 10.312 9.703 9.212 8.738 8.256 7.743 7.183 6.556 5.843 4.980 3.875 2.172 0.000 0.000 0.000 0.000 0.000
   58 10.967 10.967 10.967 10.967 10.967 10.967 10.967 10.967 10.380 9.741 9.239 8.759 8.270 7.751 7.186 6.547 5.806 4.911 3.745 1.821 0.000 0.000 0.000 0.000 0.000
   59 10.970 10.970 10.970 10.970 10.970 10.970 10.970 10.970 10.447 9.772 9.260 8.775 8.281 7.754 7.180 6.531 5.777 4.857 3.642 1.484 0.000 0.000 0.000 0.000 0.000
   60 10.973 10.973 10.973 10.973 10.973 10.973 10.973 10.973 10.503 9.794 9.276 8.784 8.283 7.753 7.173 6.518 5.754 4.823 3.574 1.262 0.000 0.000 0.000 0.000 0.000
   61 10.976 10.976 10.976 10.976 10.976 10.976 10.976 10.976 10.542 9.808 9.280 8.783 8.282 7.747 7.164 6.506 5.742 4.807 3.562 1.271 0.000 0.000 0.000 0.000 0.000
   62 10.978 10.978 10.978 10.978 10.978 10.978 10.978 10.978 10.558 9.805 9.273 8.775 8.268 7.736 7.153 6.498 5.738 4.818 3.606 1.501 0.000 0.000 0.000 0.000 0.000
   63 10.980 10.980 10.980 10.980 10.980 10.980 10.980 10.980 10.541 9.791 9.256 8.758 8.249 7.717 7.134 6.488 5.744 4.853 3.698 1.843 0.000 0.000 0.000 0.000 0.000
   64 10.982 10.982 10.982 10.982 10.982 10.982 10.982 10.982 10.502 9.766 9.231 8.733 8.226 7.694 7.120 6.487 5.763 4.904 3.822 2.196 0.000 0.000 0.000 0.000 0.000
   65 10.984 10.984 10.984 10.984 10.984 10.984 10.984 10.984 10.446 9.732 9.201 8.700 8.201 7.675 7.112 6.492 5.789 4.969 3.954 2.525 0.000 0.000 0.000 0.000 0.000
   66 10.985 10.985 10.985 10.985 10.985 10.985 10.985 10.985 10.382 9.694 9.167 8.673 8.175 7.656 7.102 6.498 5.821 5.040 4.091 2.814 0.000 0.000 0.000 0.000 0.000
   67 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.319 9.653 9.135 8.643 8.151 7.641 7.099 6.507 5.854 5.108 4.215 3.059 0.906 0.000 0.000 0.000 0.000
   68 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.261 9.616 9.101 8.619 8.132 7.630 7.099 6.523 5.887 5.170 4.326 3.254 1.535 0.000 0.000 0.000 0.000
   69 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.212 9.585 9.077 8.599 8.117 7.620 7.101 6.537 5.918 5.223 4.409 3.401 1.894 0.000 0.000 0.000 0.000
   70 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.175 9.563 9.061 8.583 8.107 7.618 7.102 6.548 5.941 5.264 4.474 3.502 2.113 0.000 0.000 0.000 0.000
   71 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.155 9.550 9.050 8.574 8.105 7.616 7.103 6.555 5.955 5.285 4.510 3.562 2.228 0.000 0.000 0.000 0.000
   72 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.987 10.147 9.545 9.047 8.576 8.102 7.616 7.106 6.558 5.958 5.288 4.520 3.576 2.252 0.000 0.000 0.000 0.000
   73 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.159 9.552 9.056 8.580 8.109 7.617 7.104 6.553 5.950 5.276 4.497 3.537 2.182 0.000 0.000 0.000 0.000
   74 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.986 10.182 9.571 9.069 8.594 8.117 7.623 7.104 6.546 5.933 5.245 4.444 3.452 2.004 0.000 0.000 0.000 0.000
