Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 8.234 8.234 8.234 7.940 7.741 7.545 7.341 7.121 6.885 6.628 6.347 6.041 5.703 5.327 4.913 4.440 3.897 3.245 2.412 1.005 0.000 0.000 0.000 0.000 0.000
    1 8.239 8.239 8.239 7.943 7.747 7.553 7.351 7.130 6.895 6.640 6.359 6.055 5.717 5.347 4.930 4.460 3.921 3.276 2.443 1.076 0.000 0.000 0.000 0.000 0.000
    2 8.243 8.243 8.243 7.944 7.751 7.558 7.356 7.140 6.905 6.652 6.373 6.072 5.736 5.369 4.958 4.494 3.962 3.331 2.525 1.266 0.000 0.000 0.000 0.000 0.000
    3 8.248 8.248 8.248 7.944 7.753 7.562 7.360 7.145 6.912 6.661 6.386 6.087 5.754 5.392 4.992 4.538 4.019 3.409 2.645 1.520 0.000 0.000 0.000 0.000 0.000
    4 8.252 8.252 8.218 7.943 7.753 7.563 7.363 7.150 6.916 6.667 6.396 6.099 5.776 5.419 5.025 4.590 4.088 3.503 2.788 1.791 0.000 0.000 0.000 0.000 0.000
    5 8.255 8.255 8.190 7.940 7.752 7.562 7.364 7.150 6.922 6.674 6.405 6.113 5.795 5.449 5.067 4.641 4.162 3.605 2.936 2.047 0.000 0.000 0.000 0.000 0.000
    6 8.258 8.258 8.173 7.936 7.750 7.561 7.362 7.151 6.922 6.678 6.413 6.125 5.817 5.477 5.104 4.693 4.231 3.703 3.079 2.275 0.935 0.000 0.000 0.000 0.000
    7 8.261 8.261 8.161 7.933 7.746 7.558 7.360 7.150 6.925 6.683 6.420 6.139 5.836 5.504 5.142 4.744 4.302 3.796 3.206 2.466 1.381 0.000 0.000 0.000 0.000
    8 8.262 8.262 8.152 7.929 7.744 7.556 7.359 7.149 6.925 6.685 6.429 6.150 5.849 5.525 5.170 4.784 4.355 3.871 3.311 2.623 1.670 0.000 0.000 0.000 0.000
    9 8.263 8.263 8.148 7.926 7.740 7.553 7.356 7.147 6.924 6.687 6.431 6.157 5.861 5.542 5.192 4.816 4.398 3.927 3.387 2.735 1.862 0.000 0.000 0.000 0.000
   10 8.263 8.263 8.145 7.923 7.737 7.549 7.354 7.144 6.922 6.687 6.431 6.159 5.868 5.552 5.208 4.836 4.424 3.960 3.431 2.803 1.972 0.000 0.000 0.000 0.000
   11 8.263 8.263 8.144 7.921 7.735 7.547 7.350 7.141 6.919 6.682 6.430 6.160 5.867 5.554 5.213 4.840 4.435 3.975 3.453 2.830 2.020 0.391 0.000 0.000 0.000
   12 8.261 8.261 8.145 7.920 7.733 7.544 7.348 7.138 6.916 6.679 6.425 6.155 5.860 5.547 5.205 4.833 4.424 3.964 3.438 2.814 2.001 0.263 0.000 0.000 0.000
   13 8.258 8.258 8.150 7.919 7.731 7.542 7.345 7.135 6.911 6.673 6.416 6.144 5.849 5.533 5.186 4.813 4.394 3.931 3.397 2.758 1.910 0.000 0.000 0.000 0.000
   14 8.255 8.255 8.155 7.920 7.730 7.540 7.341 7.130 6.904 6.665 6.407 6.130 5.832 5.508 5.161 4.779 4.354 3.876 3.324 2.656 1.740 0.000 0.000 0.000 0.000
   15 8.251 8.251 8.168 7.921 7.730 7.538 7.337 7.126 6.898 6.653 6.393 6.112 5.809 5.482 5.123 4.729 4.293 3.798 3.219 2.507 1.482 0.000 0.000 0.000 0.000
   16 8.247 8.247 8.192 7.923 7.730 7.536 7.334 7.120 6.890 6.642 6.377 6.091 5.783 5.446 5.075 4.671 4.219 3.699 3.086 2.310 1.064 0.000 0.000 0.000 0.000
   17 8.241 8.241 8.241 7.925 7.730 7.535 7.331 7.114 6.882 6.631 6.362 6.072 5.754 5.405 5.026 4.606 4.131 3.585 2.927 2.063 0.000 0.000 0.000 0.000 0.000
   18 8.236 8.236 8.236 7.929 7.730 7.532 7.329 7.110 6.874 6.620 6.347 6.048 5.723 5.369 4.975 4.537 4.038 3.457 2.749 1.757 0.000 0.000 0.000 0.000 0.000
   19 8.230 8.230 8.230 7.932 7.730 7.532 7.324 7.104 6.864 6.609 6.330 6.026 5.694 5.326 4.924 4.463 3.944 3.327 2.552 1.378 0.000 0.000 0.000 0.000 0.000
   20 8.224 8.224 8.224 7.935 7.729 7.528 7.318 7.097 6.857 6.596 6.315 6.005 5.667 5.289 4.872 4.399 3.856 3.200 2.356 0.896 0.000 0.000 0.000 0.000 0.000
   21 8.219 8.219 8.219 7.938 7.727 7.524 7.313 7.089 6.848 6.584 6.296 5.983 5.638 5.254 4.828 4.340 3.777 3.088 2.183 0.000 0.000 0.000 0.000 0.000 0.000
   22 8.213 8.213 8.213 7.939 7.723 7.517 7.305 7.079 6.837 6.571 6.281 5.964 5.616 5.227 4.792 4.297 3.718 3.012 2.054 0.000 0.000 0.000 0.000 0.000 0.000
   23 8.208 8.208 8.208 7.938 7.718 7.511 7.296 7.068 6.822 6.556 6.267 5.947 5.594 5.206 4.765 4.267 3.684 2.967 1.990 0.000 0.000 0.000 0.000 0.000 0.000
   24 8.204 8.204 8.204 7.937 7.712 7.502 7.286 7.056 6.809 6.541 6.249 5.932 5.579 5.190 4.755 4.257 3.674 2.968 1.999 0.000 0.000 0.000 0.000 0.000 0.000
   25 8.200 8.200 8.200 7.933 7.704 7.493 7.274 7.043 6.795 6.527 6.238 5.921 5.570 5.182 4.750 4.261 3.688 2.996 2.068 0.000 0.000 0.000 0.000 0.000 0.000
   26 8.197 8.197 8.197 7.927 7.697 7.482 7.262 7.032 6.783 6.517 6.226 5.910 5.565 5.184 4.759 4.279 3.723 3.056 2.178 0.300 0.000 0.000 0.000 0.000 0.000
   27 8.195 8.195 8.195 7.921 7.688 7.472 7.253 7.020 6.772 6.506 6.219 5.904 5.566 5.188 4.774 4.304 3.771 3.129 2.308 0.892 0.000 0.000 0.000 0.000 0.000
   28 8.193 8.193 8.193 7.914 7.680 7.464 7.243 7.011 6.765 6.499 6.214 5.905 5.568 5.200 4.795 4.337 3.818 3.208 2.436 1.242 0.000 0.000 0.000 0.000 0.000
   29 8.193 8.193 8.193 7.907 7.673 7.458 7.237 7.005 6.760 6.496 6.213 5.909 5.579 5.217 4.817 4.379 3.873 3.284 2.558 1.505 0.000 0.000 0.000 0.000 0.000
   30 8.194 8.194 8.194 7.901 7.669 7.453 7.232 7.002 6.758 6.495 6.218 5.914 5.589 5.232 4.845 4.412 3.927 3.360 2.667 1.707 0.000 0.000 0.000 0.000 0.000
   31 8.195 8.195 8.195 7.897 7.666 7.451 7.231 7.003 6.760 6.501 6.222 5.925 5.602 5.254 4.869 4.446 3.971 3.425 2.759 1.867 0.000 0.000 0.000 0.000 0.000
   32 8.198 8.198 8.198 7.894 7.666 7.452 7.234 7.006 6.763 6.508 6.233 5.936 5.618 5.272 4.896 4.480 4.011 3.476 2.829 1.981 0.000 0.000 0.000 0.000 0.000
   33 8.201 8.201 8.201 7.892 7.668 7.455 7.239 7.012 6.771 6.518 6.245 5.950 5.635 5.292 4.916 4.505 4.043 3.515 2.884 2.067 0.450 0.000 0.000 0.000 0.000
   34 8.205 8.205 8.205 7.893 7.672 7.462 7.248 7.022 6.782 6.529 6.256 5.966 5.650 5.310 4.937 4.526 4.071 3.547 2.927 2.118 0.655 0.000 0.000 0.000 0.000
   35 8.210 8.210 8.210 7.895 7.678 7.471 7.257 7.033 6.797 6.544 6.273 5.980 5.667 5.327 4.957 4.550 4.087 3.567 2.950 2.150 0.733 0.000 0.000 0.000 0.000
   36 8.216 8.216 8.216 7.899 7.686 7.481 7.269 7.047 6.811 6.558 6.287 5.999 5.686 5.343 4.972 4.562 4.103 3.579 2.959 2.158 0.733 0.000 0.000 0.000 0.000
   37 8.221 8.221 8.221 7.905 7.696 7.493 7.283 7.063 6.827 6.576 6.307 6.014 5.701 5.358 4.985 4.578 4.116 3.588 2.956 2.144 0.668 0.000 0.000 0.000 0.000
   38 8.228 8.228 8.228 7.911 7.706 7.506 7.299 7.078 6.845 6.594 6.323 6.033 5.717 5.374 5.001 4.588 4.122 3.587 2.952 2.120 0.533 0.000 0.000 0.000 0.000
   39 8.234 8.234 8.234 7.917 7.717 7.520 7.313 7.096 6.863 6.613 6.342 6.050 5.737 5.391 5.012 4.595 4.123 3.585 2.934 2.086 0.242 0.000 0.000 0.000 0.000
   40 8.240 8.240 8.240 7.924 7.728 7.532 7.328 7.112 6.879 6.631 6.363 6.068 5.753 5.407 5.022 4.602 4.123 3.578 2.916 2.040 0.000 0.000 0.000 0.000 0.000
   41 8.246 8.246 8.229 7.931 7.738 7.546 7.345 7.129 6.897 6.647 6.379 6.086 5.768 5.420 5.035 4.609 4.123 3.567 2.893 1.989 0.000 0.000 0.000 0.000 0.000
   42 8.251 8.251 8.204 7.938 7.749 7.558 7.358 7.145 6.915 6.665 6.394 6.102 5.781 5.433 5.048 4.613 4.127 3.560 2.871 1.943 0.000 0.000 0.000 0.000 0.000
   43 8.256 8.256 8.193 7.943 7.757 7.569 7.370 7.157 6.929 6.679 6.410 6.118 5.797 5.444 5.056 4.620 4.128 3.554 2.854 1.898 0.000 0.000 0.000 0.000 0.000
   44 8.261 8.261 8.187 7.950 7.765 7.578 7.381 7.170 6.941 6.694 6.423 6.130 5.810 5.456 5.065 4.626 4.127 3.550 2.838 1.866 0.000 0.000 0.000 0.000 0.000
   45 8.264 8.264 8.184 7.953 7.771 7.586 7.391 7.179 6.952 6.704 6.436 6.141 5.820 5.464 5.073 4.634 4.135 3.551 2.832 1.843 0.000 0.000 0.000 0.000 0.000
   46 8.267 8.267 8.184 7.956 7.775 7.591 7.397 7.186 6.958 6.714 6.445 6.151 5.828 5.474 5.083 4.641 4.139 3.554 2.835 1.839 0.000 0.000 0.000 0.000 0.000
   47 8.269 8.269 8.182 7.958 7.779 7.594 7.401 7.191 6.963 6.718 6.447 6.157 5.837 5.480 5.086 4.648 4.149 3.564 2.845 1.856 0.000 0.000 0.000 0.000 0.000
   48 8.270 8.270 8.180 7.958 7.779 7.596 7.401 7.192 6.966 6.720 6.453 6.160 5.840 5.486 5.095 4.657 4.161 3.576 2.868 1.892 0.000 0.000 0.000 0.000 0.000
   49 8.270 8.270 8.179 7.958 7.778 7.595 7.401 7.191 6.966 6.720 6.453 6.160 5.843 5.492 5.104 4.668 4.176 3.602 2.902 1.950 0.000 0.000 0.000 0.000 0.000
   50 8.269 8.269 8.177 7.954 7.775 7.591 7.396 7.187 6.962 6.715 6.450 6.157 5.842 5.493 5.108 4.676 4.190 3.623 2.939 2.018 0.000 0.000 0.000 0.000 0.000
   51 8.268 8.268 8.173 7.951 7.770 7.586 7.390 7.181 6.954 6.708 6.445 6.155 5.837 5.494 5.112 4.686 4.207 3.651 2.985 2.096 0.000 0.000 0.000 0.000 0.000
   52 8.265 8.265 8.170 7.947 7.763 7.578 7.381 7.172 6.946 6.702 6.437 6.149 5.836 5.493 5.117 4.697 4.225 3.683 3.033 2.184 0.585 0.000 0.000 0.000 0.000
   53 8.262 8.262 8.168 7.941 7.756 7.569 7.372 7.162 6.935 6.691 6.427 6.141 5.830 5.490 5.120 4.706 4.244 3.713 3.081 2.269 0.895 0.000 0.000 0.000 0.000
   54 8.258 8.258 8.167 7.934 7.748 7.559 7.361 7.149 6.922 6.678 6.417 6.129 5.824 5.486 5.119 4.712 4.256 3.739 3.126 2.350 1.117 0.000 0.000 0.000 0.000
   55 8.254 8.254 8.168 7.927 7.737 7.547 7.348 7.136 6.909 6.665 6.405 6.119 5.813 5.479 5.117 4.719 4.270 3.760 3.166 2.418 1.291 0.000 0.000 0.000 0.000
   56 8.249 8.249 8.171 7.920 7.728 7.536 7.334 7.123 6.894 6.652 6.390 6.109 5.803 5.474 5.112 4.720 4.278 3.783 3.193 2.473 1.413 0.000 0.000 0.000 0.000
   57 8.244 8.244 8.177 7.913 7.718 7.524 7.323 7.108 6.880 6.636 6.376 6.095 5.789 5.465 5.109 4.715 4.279 3.787 3.212 2.508 1.491 0.000 0.000 0.000 0.000
   58 8.239 8.239 8.190 7.907 7.709 7.513 7.309 7.093 6.864 6.622 6.360 6.079 5.778 5.451 5.096 4.704 4.275 3.783 3.216 2.520 1.532 0.000 0.000 0.000 0.000
   59 8.233 8.233 8.233 7.902 7.700 7.502 7.297 7.081 6.852 6.606 6.343 6.064 5.761 5.435 5.079 4.691 4.259 3.770 3.207 2.511 1.519 0.000 0.000 0.000 0.000
   60 8.228 8.228 8.228 7.898 7.693 7.494 7.287 7.069 6.838 6.590 6.328 6.044 5.741 5.414 5.056 4.667 4.235 3.743 3.172 2.468 1.455 0.000 0.000 0.000 0.000
   61 8.223 8.223 8.223 7.897 7.689 7.485 7.278 7.058 6.825 6.575 6.311 6.027 5.722 5.390 5.031 4.633 4.198 3.699 3.120 2.400 1.328 0.000 0.000 0.000 0.000
   62 8.218 8.218 8.218 7.897 7.685 7.480 7.269 7.048 6.813 6.563 6.295 6.007 5.699 5.361 5.000 4.599 4.150 3.640 3.047 2.291 1.095 0.000 0.000 0.000 0.000
   63 8.214 8.214 8.214 7.899 7.683 7.477 7.263 7.042 6.804 6.551 6.278 5.988 5.672 5.332 4.958 4.551 4.092 3.568 2.944 2.140 0.690 0.000 0.000 0.000 0.000
   64 8.210 8.210 8.210 7.903 7.685 7.477 7.261 7.037 6.795 6.540 6.263 5.968 5.648 5.300 4.918 4.495 4.022 3.473 2.815 1.938 0.000 0.000 0.000 0.000 0.000
   65 8.206 8.206 8.206 7.910 7.687 7.477 7.261 7.033 6.792 6.531 6.252 5.950 5.623 5.266 4.875 4.437 3.941 3.367 2.659 1.675 0.000 0.000 0.000 0.000 0.000
   66 8.203 8.203 8.203 7.917 7.692 7.481 7.262 7.034 6.788 6.525 6.242 5.936 5.598 5.234 4.825 4.374 3.855 3.249 2.484 1.319 0.000 0.000 0.000 0.000 0.000
   67 8.201 8.201 8.201 7.926 7.698 7.484 7.266 7.036 6.789 6.522 6.233 5.920 5.579 5.201 4.784 4.311 3.769 3.116 2.276 0.775 0.000 0.000 0.000 0.000 0.000
   68 8.199 8.199 8.199 7.934 7.704 7.490 7.272 7.040 6.791 6.523 6.232 5.912 5.562 5.176 4.741 4.252 3.679 2.991 2.056 0.000 0.000 0.000 0.000 0.000 0.000
   69 8.198 8.198 8.198 7.941 7.709 7.496 7.277 7.045 6.795 6.526 6.230 5.906 5.551 5.154 4.710 4.203 3.603 2.868 1.838 0.000 0.000 0.000 0.000 0.000 0.000
   70 8.198 8.198 8.198 7.947 7.714 7.501 7.282 7.049 6.798 6.528 6.228 5.904 5.544 5.139 4.686 4.166 3.550 2.779 1.658 0.000 0.000 0.000 0.000 0.000 0.000
   71 8.198 8.198 8.198 7.950 7.718 7.504 7.286 7.053 6.803 6.530 6.233 5.904 5.543 5.136 4.678 4.148 3.522 2.733 1.555 0.000 0.000 0.000 0.000 0.000 0.000
   72 8.199 8.199 8.199 7.950 7.718 7.506 7.287 7.056 6.805 6.533 6.235 5.906 5.546 5.141 4.683 4.154 3.530 2.742 1.575 0.000 0.000 0.000 0.000 0.000 0.000
   73 8.201 8.201 8.201 7.946 7.717 7.506 7.289 7.056 6.805 6.535 6.239 5.913 5.555 5.153 4.703 4.183 3.574 2.810 1.708 0.000 0.000 0.000 0.000 0.000 0.000
