Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 11.170 9.811 8.565 7.127 4.756 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 11.113 9.781 8.552 7.132 4.829 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 12.923 11.110 9.781 8.549 7.112 4.636 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 11.164 9.813 8.554 7.066 3.868 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 11.277 9.873 8.578 7.004 3.104 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 11.454 9.963 8.617 6.918 2.668 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 12.907 11.704 10.093 8.693 6.817 2.260 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.904 12.063 10.254 8.801 6.723 1.756 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 10.435 8.935 6.709 0.959 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 10.607 9.081 6.884 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   10 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 12.902 10.751 9.212 6.105 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   11 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 12.903 10.838 9.286 5.967 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   12 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 12.905 10.849 9.286 5.963 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   13 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 12.908 10.783 9.220 6.066 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   14 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 10.653 9.100 6.831 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   15 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 12.916 10.492 8.955 6.657 1.084 0.000 0.000 0.000 0.000 0.000 0.000
   16 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.325 10.319 8.819 6.684 1.856 0.000 0.000 0.000 0.000 0.000 0.000
   17 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 12.928 11.897 10.159 8.712 6.790 2.368 0.000 0.000 0.000 0.000 0.000 0.000
   18 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 12.934 11.624 10.031 8.645 6.899 2.813 0.000 0.000 0.000 0.000 0.000 0.000
   19 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 11.432 9.935 8.600 6.994 3.278 0.000 0.000 0.000 0.000 0.000 0.000
   20 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 12.948 11.311 9.874 8.578 7.065 4.092 0.000 0.000 0.000 0.000 0.000 0.000
   21 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 12.954 11.257 9.841 8.572 7.113 4.696 0.000 0.000 0.000 0.000 0.000 0.000
   22 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 12.961 11.249 9.842 8.573 7.136 4.887 0.000 0.000 0.000 0.000 0.000 0.000
   23 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 12.968 11.306 9.868 8.589 7.134 4.858 0.000 0.000 0.000 0.000 0.000 0.000
   24 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 11.415 9.922 8.610 7.115 4.606 0.000 0.000 0.000 0.000 0.000 0.000
   25 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 11.604 10.005 8.642 7.076 3.965 0.000 0.000 0.000 0.000 0.000 0.000
   26 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 11.881 10.118 8.695 7.018 3.219 0.000 0.000 0.000 0.000 0.000 0.000
   27 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.329 10.267 8.771 6.950 2.682 0.000 0.000 0.000 0.000 0.000 0.000
   28 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 10.441 8.868 6.886 2.179 0.000 0.000 0.000 0.000 0.000 0.000
   29 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 10.636 8.989 6.852 1.564 0.000 0.000 0.000 0.000 0.000 0.000
   30 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 12.988 10.827 9.124 6.890 0.334 0.000 0.000 0.000 0.000 0.000 0.000
   31 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 12.986 10.990 9.247 7.024 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   32 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 11.099 9.336 7.181 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   33 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 12.978 11.137 9.378 7.288 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   34 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 12.972 11.099 9.363 7.306 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   35 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 12.966 10.996 9.300 7.243 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   36 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 12.959 10.849 9.207 7.138 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   37 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 12.951 10.680 9.091 7.039 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   38 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 12.943 10.507 8.974 6.980 0.432 0.000 0.000 0.000 0.000 0.000 0.000
   39 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.935 12.416 10.346 8.873 6.966 1.320 0.000 0.000 0.000 0.000 0.000 0.000
   40 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 12.927 11.956 10.206 8.783 6.983 1.766 0.000 0.000 0.000 0.000 0.000 0.000
   41 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 12.920 11.668 10.078 8.712 7.009 2.083 0.000 0.000 0.000 0.000 0.000 0.000
   42 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 12.913 11.454 9.979 8.660 7.043 2.336 0.000 0.000 0.000 0.000 0.000 0.000
   43 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 11.298 9.898 8.615 7.074 2.545 0.000 0.000 0.000 0.000 0.000 0.000
   44 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 12.901 11.181 9.837 8.588 7.096 2.881 0.000 0.000 0.000 0.000 0.000 0.000
   45 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 11.099 9.795 8.563 7.115 4.208 0.000 0.000 0.000 0.000 0.000 0.000
   46 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 11.046 9.767 8.552 7.125 4.557 0.000 0.000 0.000 0.000 0.000 0.000
   47 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 11.028 9.752 8.547 7.127 4.609 0.000 0.000 0.000 0.000 0.000 0.000
   48 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 11.035 9.756 8.547 7.120 4.452 0.000 0.000 0.000 0.000 0.000 0.000
   49 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 12.889 11.074 9.779 8.557 7.101 3.381 0.000 0.000 0.000 0.000 0.000 0.000
   50 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 12.890 11.141 9.818 8.573 7.074 2.791 0.000 0.000 0.000 0.000 0.000 0.000
   51 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 12.893 11.246 9.873 8.598 7.041 2.541 0.000 0.000 0.000 0.000 0.000 0.000
   52 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 12.896 11.395 9.955 8.639 6.993 2.311 0.000 0.000 0.000 0.000 0.000 0.000
   53 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 12.900 11.594 10.057 8.694 6.948 2.045 0.000 0.000 0.000 0.000 0.000 0.000
   54 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 12.906 11.870 10.184 8.775 6.906 1.699 0.000 0.000 0.000 0.000 0.000 0.000
   55 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.911 12.285 10.335 8.872 6.888 1.190 0.000 0.000 0.000 0.000 0.000 0.000
   56 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 10.503 8.993 6.920 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   57 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 12.924 10.677 9.118 7.026 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   58 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 10.840 9.237 7.175 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   59 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 12.938 10.968 9.329 7.293 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   60 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 12.945 11.043 9.371 7.317 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   61 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 11.049 9.350 7.216 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   62 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 10.979 9.273 6.977 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   63 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 12.963 10.837 9.148 6.699 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   64 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 12.969 10.655 8.999 6.605 1.541 0.000 0.000 0.000 0.000 0.000 0.000
   65 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 12.973 10.459 8.855 6.674 2.206 0.000 0.000 0.000 0.000 0.000 0.000
   66 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.976 12.388 10.271 8.745 6.788 2.737 0.000 0.000 0.000 0.000 0.000 0.000
   67 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 12.979 11.892 10.110 8.661 6.901 3.233 0.000 0.000 0.000 0.000 0.000 0.000
   68 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 11.592 9.983 8.604 6.995 3.895 0.000 0.000 0.000 0.000 0.000 0.000
   69 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 11.387 9.884 8.569 7.070 4.589 0.000 0.000 0.000 0.000 0.000 0.000
   70 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 12.983 11.252 9.824 8.549 7.119 4.977 0.000 0.000 0.000 0.000 0.000 0.000
   71 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 12.982 11.180 9.785 8.537 7.139 5.134 0.000 0.000 0.000 0.000 0.000 0.000
   72 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 12.981 11.165 9.780 8.525 7.134 5.121 0.000 0.000 0.000 0.000 0.000 0.000
   73 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 12.980 11.207 9.794 8.526 7.095 4.938 0.000 0.000 0.000 0.000 0.000 0.000
   74 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 12.977 11.320 9.845 8.529 7.024 4.504 0.000 0.000 0.000 0.000 0.000 0.000
   75 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 12.974 11.513 9.932 8.550 6.908 3.881 0.000 0.000 0.000 0.000 0.000 0.000
   76 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 12.971 11.828 10.065 8.592 6.728 3.368 0.000 0.000 0.000 0.000 0.000 0.000
   77 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.967 12.421 10.257 8.671 6.443 2.902 0.000 0.000 0.000 0.000 0.000 0.000
   78 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 12.962 10.508 8.814 5.885 2.410 0.000 0.000 0.000 0.000 0.000 0.000
   79 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 12.958 10.812 9.028 4.926 1.774 0.000 0.000 0.000 0.000 0.000 0.000
   80 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 12.952 11.133 9.293 4.171 0.486 0.000 0.000 0.000 0.000 0.000 0.000
   81 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 12.947 11.423 9.547 3.521 0.000 0.000 0.000 0.000 0.000 0.000 0.000
   82 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 12.941 11.610 9.709 4.186 0.000 0.000 0.000 0.000 0.000 0.000 0.000
