Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 5.875 5.849 5.794 5.718 5.626 5.516 5.391 5.251 5.095 4.925 4.738 4.534 4.318 4.086 3.853 3.589 3.281 2.914 2.471 1.883 0.907 0.000 0.000 0.000 0.000
    1 5.899 5.872 5.818 5.743 5.651 5.542 5.417 5.278 5.123 4.952 4.767 4.563 4.349 4.120 3.887 3.624 3.319 2.959 2.516 1.944 1.023 0.000 0.000 0.000 0.000
    2 5.922 5.896 5.841 5.767 5.675 5.567 5.443 5.304 5.150 4.982 4.797 4.597 4.381 4.157 3.927 3.670 3.372 3.015 2.588 2.035 1.200 0.000 0.000 0.000 0.000
    3 5.944 5.918 5.863 5.790 5.698 5.590 5.469 5.330 5.178 5.011 4.828 4.633 4.420 4.198 3.974 3.720 3.429 3.086 2.678 2.158 1.411 0.000 0.000 0.000 0.000
    4 5.964 5.938 5.884 5.810 5.719 5.613 5.490 5.354 5.204 5.040 4.860 4.667 4.458 4.242 4.018 3.774 3.492 3.168 2.774 2.294 1.632 0.000 0.000 0.000 0.000
    5 5.982 5.956 5.902 5.828 5.738 5.632 5.511 5.376 5.227 5.066 4.892 4.701 4.498 4.284 4.066 3.828 3.560 3.246 2.879 2.427 1.837 0.846 0.000 0.000 0.000
    6 5.998 5.971 5.917 5.843 5.753 5.649 5.529 5.396 5.249 5.089 4.916 4.730 4.534 4.324 4.111 3.882 3.621 3.322 2.974 2.558 2.018 1.228 0.000 0.000 0.000
    7 6.009 5.983 5.928 5.855 5.765 5.662 5.544 5.412 5.267 5.111 4.938 4.757 4.563 4.361 4.148 3.928 3.677 3.392 3.059 2.663 2.174 1.496 0.000 0.000 0.000
    8 6.017 5.990 5.937 5.863 5.774 5.671 5.554 5.423 5.281 5.125 4.957 4.777 4.589 4.386 4.182 3.966 3.721 3.447 3.129 2.757 2.298 1.686 0.563 0.000 0.000
    9 6.022 5.995 5.941 5.868 5.779 5.676 5.560 5.429 5.288 5.136 4.969 4.792 4.604 4.407 4.205 3.993 3.755 3.491 3.181 2.817 2.387 1.820 0.912 0.000 0.000
   10 6.022 5.995 5.941 5.868 5.778 5.676 5.560 5.432 5.291 5.139 4.977 4.800 4.614 4.417 4.213 4.009 3.775 3.511 3.212 2.856 2.435 1.898 1.079 0.000 0.000
   11 6.018 5.991 5.936 5.863 5.775 5.671 5.556 5.429 5.289 5.135 4.973 4.799 4.610 4.416 4.214 4.008 3.777 3.516 3.218 2.870 2.457 1.925 1.129 0.000 0.000
   12 6.009 5.982 5.928 5.854 5.765 5.662 5.547 5.418 5.279 5.127 4.962 4.788 4.599 4.402 4.204 3.994 3.766 3.503 3.204 2.852 2.435 1.899 1.085 0.000 0.000
   13 5.996 5.969 5.914 5.841 5.752 5.648 5.533 5.404 5.261 5.109 4.943 4.768 4.579 4.382 4.178 3.968 3.734 3.467 3.164 2.804 2.374 1.820 0.927 0.000 0.000
   14 5.980 5.953 5.898 5.824 5.735 5.631 5.512 5.383 5.239 5.085 4.919 4.740 4.548 4.349 4.145 3.925 3.687 3.417 3.099 2.727 2.276 1.677 0.577 0.000 0.000
   15 5.959 5.932 5.877 5.803 5.713 5.607 5.490 5.358 5.214 5.056 4.885 4.704 4.510 4.305 4.095 3.876 3.625 3.343 3.014 2.622 2.137 1.467 0.000 0.000 0.000
   16 5.936 5.909 5.854 5.779 5.689 5.582 5.462 5.329 5.181 5.022 4.849 4.664 4.465 4.254 4.042 3.813 3.555 3.256 2.908 2.492 1.961 1.162 0.000 0.000 0.000
   17 5.909 5.882 5.827 5.752 5.660 5.554 5.433 5.295 5.146 4.983 4.806 4.616 4.412 4.196 3.977 3.739 3.468 3.154 2.787 2.331 1.732 0.652 0.000 0.000 0.000
   18 5.881 5.854 5.799 5.724 5.630 5.522 5.399 5.261 5.111 4.944 4.761 4.566 4.360 4.139 3.908 3.661 3.379 3.048 2.647 2.151 1.455 0.000 0.000 0.000 0.000
   19 5.851 5.824 5.768 5.693 5.600 5.489 5.366 5.224 5.070 4.901 4.717 4.517 4.301 4.075 3.844 3.581 3.286 2.937 2.506 1.954 1.105 0.000 0.000 0.000 0.000
   20 5.821 5.793 5.738 5.661 5.568 5.457 5.330 5.190 5.031 4.860 4.670 4.468 4.247 4.012 3.776 3.507 3.195 2.824 2.362 1.750 0.629 0.000 0.000 0.000 0.000
   21 5.791 5.763 5.707 5.630 5.536 5.424 5.297 5.154 4.994 4.818 4.629 4.420 4.194 3.957 3.712 3.436 3.114 2.722 2.238 1.557 0.000 0.000 0.000 0.000 0.000
   22 5.762 5.734 5.677 5.600 5.505 5.393 5.265 5.120 4.960 4.782 4.587 4.376 4.148 3.905 3.660 3.375 3.043 2.643 2.133 1.392 0.000 0.000 0.000 0.000 0.000
   23 5.734 5.706 5.650 5.572 5.476 5.363 5.234 5.088 4.928 4.750 4.553 4.340 4.111 3.866 3.615 3.330 2.995 2.585 2.055 1.278 0.000 0.000 0.000 0.000 0.000
   24 5.710 5.682 5.624 5.546 5.450 5.336 5.207 5.061 4.899 4.719 4.524 4.311 4.082 3.837 3.583 3.301 2.960 2.549 2.023 1.230 0.000 0.000 0.000 0.000 0.000
   25 5.689 5.660 5.603 5.524 5.427 5.314 5.183 5.037 4.875 4.697 4.502 4.292 4.061 3.818 3.567 3.282 2.950 2.540 2.022 1.253 0.000 0.000 0.000 0.000 0.000
   26 5.672 5.643 5.584 5.505 5.408 5.295 5.166 5.019 4.858 4.682 4.487 4.276 4.050 3.810 3.559 3.281 2.952 2.560 2.053 1.332 0.000 0.000 0.000 0.000 0.000
   27 5.660 5.630 5.572 5.493 5.396 5.282 5.152 5.007 4.848 4.672 4.479 4.271 4.050 3.809 3.562 3.292 2.970 2.592 2.108 1.436 0.000 0.000 0.000 0.000 0.000
   28 5.653 5.623 5.564 5.484 5.388 5.275 5.145 5.001 4.843 4.668 4.479 4.275 4.054 3.819 3.575 3.311 3.003 2.632 2.178 1.554 0.000 0.000 0.000 0.000 0.000
   29 5.651 5.621 5.562 5.482 5.386 5.273 5.145 5.002 4.845 4.674 4.486 4.284 4.068 3.836 3.594 3.337 3.039 2.682 2.251 1.675 0.647 0.000 0.000 0.000 0.000
   30 5.655 5.625 5.565 5.486 5.389 5.277 5.150 5.010 4.854 4.682 4.499 4.297 4.086 3.857 3.620 3.370 3.082 2.736 2.324 1.784 0.918 0.000 0.000 0.000 0.000
   31 5.664 5.634 5.575 5.496 5.399 5.287 5.160 5.021 4.868 4.699 4.516 4.319 4.110 3.884 3.650 3.406 3.121 2.790 2.393 1.881 1.117 0.000 0.000 0.000 0.000
   32 5.678 5.648 5.589 5.510 5.415 5.303 5.178 5.038 4.886 4.719 4.538 4.343 4.137 3.913 3.686 3.441 3.163 2.842 2.452 1.968 1.268 0.000 0.000 0.000 0.000
   33 5.697 5.667 5.609 5.530 5.435 5.324 5.199 5.062 4.910 4.743 4.564 4.371 4.168 3.946 3.719 3.478 3.207 2.893 2.511 2.043 1.385 0.000 0.000 0.000 0.000
   34 5.720 5.691 5.632 5.554 5.460 5.349 5.225 5.089 4.937 4.772 4.594 4.403 4.200 3.978 3.754 3.519 3.248 2.934 2.563 2.107 1.478 0.000 0.000 0.000 0.000
   35 5.747 5.718 5.660 5.582 5.488 5.378 5.256 5.119 4.968 4.805 4.626 4.434 4.232 4.014 3.792 3.557 3.290 2.979 2.613 2.157 1.545 0.141 0.000 0.000 0.000
   36 5.776 5.748 5.690 5.613 5.518 5.410 5.287 5.151 5.000 4.837 4.660 4.470 4.266 4.050 3.829 3.594 3.329 3.019 2.652 2.200 1.601 0.405 0.000 0.000 0.000
   37 5.808 5.779 5.722 5.645 5.552 5.445 5.322 5.186 5.035 4.872 4.695 4.505 4.301 4.088 3.863 3.631 3.364 3.053 2.690 2.242 1.644 0.510 0.000 0.000 0.000
   38 5.840 5.812 5.756 5.680 5.587 5.480 5.356 5.221 5.071 4.907 4.731 4.541 4.337 4.121 3.899 3.664 3.399 3.089 2.719 2.275 1.672 0.565 0.000 0.000 0.000
   39 5.873 5.845 5.789 5.714 5.621 5.514 5.391 5.256 5.108 4.944 4.766 4.578 4.371 4.158 3.937 3.698 3.434 3.117 2.750 2.298 1.695 0.588 0.000 0.000 0.000
   40 5.905 5.877 5.823 5.747 5.656 5.549 5.428 5.290 5.141 4.980 4.801 4.609 4.407 4.191 3.970 3.735 3.464 3.146 2.776 2.320 1.712 0.597 0.000 0.000 0.000
   41 5.935 5.908 5.854 5.779 5.688 5.581 5.459 5.325 5.176 5.010 4.836 4.643 4.440 4.224 4.002 3.764 3.493 3.175 2.801 2.341 1.721 0.588 0.000 0.000 0.000
   42 5.964 5.937 5.883 5.809 5.719 5.613 5.492 5.354 5.207 5.042 4.865 4.672 4.469 4.253 4.034 3.793 3.518 3.201 2.822 2.359 1.739 0.578 0.000 0.000 0.000
   43 5.989 5.963 5.909 5.836 5.745 5.640 5.519 5.384 5.233 5.070 4.893 4.701 4.497 4.281 4.062 3.821 3.543 3.222 2.844 2.376 1.748 0.574 0.000 0.000 0.000
   44 6.012 5.986 5.932 5.859 5.769 5.663 5.543 5.407 5.258 5.097 4.918 4.725 4.522 4.306 4.087 3.843 3.568 3.247 2.862 2.390 1.761 0.583 0.000 0.000 0.000
   45 6.030 6.004 5.951 5.878 5.789 5.683 5.563 5.428 5.279 5.116 4.938 4.747 4.541 4.325 4.106 3.865 3.587 3.266 2.884 2.408 1.780 0.615 0.000 0.000 0.000
   46 6.044 6.018 5.966 5.893 5.804 5.698 5.579 5.444 5.295 5.132 4.956 4.763 4.559 4.344 4.125 3.881 3.606 3.281 2.899 2.427 1.799 0.661 0.000 0.000 0.000
   47 6.054 6.028 5.976 5.903 5.814 5.709 5.590 5.455 5.306 5.143 4.966 4.776 4.572 4.356 4.138 3.897 3.618 3.297 2.919 2.451 1.827 0.725 0.000 0.000 0.000
   48 6.059 6.033 5.981 5.908 5.819 5.715 5.595 5.461 5.313 5.150 4.974 4.783 4.577 4.364 4.148 3.907 3.635 3.311 2.936 2.468 1.857 0.804 0.000 0.000 0.000
   49 6.060 6.034 5.981 5.909 5.820 5.716 5.596 5.461 5.315 5.152 4.976 4.785 4.584 4.371 4.152 3.914 3.643 3.325 2.951 2.495 1.892 0.897 0.000 0.000 0.000
   50 6.056 6.030 5.977 5.905 5.816 5.711 5.592 5.459 5.310 5.151 4.974 4.786 4.583 4.369 4.153 3.918 3.650 3.337 2.970 2.518 1.932 0.995 0.000 0.000 0.000
