Orbital Forcing (Laskar et al 2004)
Downloaded from http://www.imcce.fr/Equipes/ASD/insola/earth/online/
20 Myr-ago to present
Reference: A&A 428, 261-285 (2004), DOI: 10.1051/0004-6361:20041335,
Laskar, J., Robutel, P., Joutel, F., Gastineau, M., Correia, A.C.M., Levrard, B. : 2004,
A long term numerical solution for the insolation quantities of the Earth.
Time (1000 Julian Years)   Ecc  Prec  Obl
  -20000.000       0.028373      -0.013611       0.413422
  -19999.000       0.027002      -0.019097       0.412171
  -19998.000       0.025691      -0.022566       0.410716
  -19997.000       0.024361      -0.023808       0.409094
  -19996.000       0.022902      -0.022843       0.407352
  -19995.000       0.021549      -0.020221       0.405546
  -19994.000       0.020108      -0.016196       0.403725
  -19993.000       0.018652      -0.011396       0.401942
  -19992.000       0.017223      -0.006428       0.400247
  -19991.000       0.015717      -0.001796       0.398682
  -19990.000       0.014317       0.002209       0.397288
  -19989.000       0.012816       0.005074       0.396102
  -19988.000       0.011417       0.006926       0.395151
  -19987.000       0.010078       0.007778       0.394462
  -19986.000       0.008749       0.007731       0.394058
  -19985.000       0.007595       0.007221       0.393948
  -19984.000       0.006684       0.006565       0.394144
  -19983.000       0.005942       0.005903       0.394646
  -19982.000       0.005678       0.005662       0.395441
  -19981.000       0.005887       0.005881       0.396515
  -19980.000       0.006401       0.006399       0.397834
  -19979.000       0.007320       0.007255       0.399360
  -19978.000       0.008441       0.008075       0.401046
  -19977.000       0.009620       0.008490       0.402844
  -19976.000       0.010997       0.008313       0.404701
  -19975.000       0.012350       0.007214       0.406570
  -19974.000       0.013785       0.004953       0.408406
  -19973.000       0.015188       0.001654       0.410164
  -19972.000       0.016656      -0.002578       0.411813
  -19971.000       0.018101      -0.007576       0.413323
  -19970.000       0.019507      -0.012621       0.414666
  -19969.000       0.020908      -0.017403       0.415821
  -19968.000       0.022350      -0.021315       0.416765
  -19967.000       0.023683      -0.023677       0.417476
  -19966.000       0.025007      -0.024153       0.417939
  -19965.000       0.026364      -0.022516       0.418140
  -19964.000       0.027590      -0.018492       0.418068
  -19963.000       0.028840      -0.012426       0.417721
  -19962.000       0.030032      -0.004693       0.417102
  -19961.000       0.031186       0.004267       0.416219
  -19960.000       0.032293       0.013465       0.415098
  -19959.000       0.033357       0.022088       0.413758
  -19958.000       0.034413       0.029354       0.412233
  -19957.000       0.035397       0.034273       0.410559
  -19956.000       0.036327       0.036285       0.408770
  -19955.000       0.037296       0.035079       0.406902
  -19954.000       0.038178       0.030416       0.404995
  -19953.000       0.038960       0.022620       0.403087
  -19952.000       0.039840       0.012408       0.401214
  -19951.000       0.040542       0.000467       0.399415
  -19950.000       0.041274      -0.011926       0.397727
  -19949.000       0.041897      -0.023619       0.396184
  -19948.000       0.042492      -0.033435       0.394830
  -19947.000       0.043066      -0.040347       0.393699
  -19946.000       0.043495      -0.043441       0.392826
  -19945.000       0.043929      -0.042469       0.392238
  -19944.000       0.044335      -0.037379       0.391955
  -19943.000       0.044567      -0.028495       0.391988
  -19942.000       0.044878      -0.016855       0.392341
  -19941.000       0.045055      -0.003408       0.393006
  -19940.000       0.045202       0.010488       0.393964
  -19939.000       0.045320       0.023409       0.395196
  -19938.000       0.045377       0.034084       0.396665
  -19937.000       0.045435       0.041649       0.398338
  -19936.000       0.045362       0.045107       0.400181
  -19935.000       0.045351       0.044440       0.402151
  -19934.000       0.045272       0.039601       0.404205
  -19933.000       0.045096       0.031115       0.406302
  -19932.000       0.044932       0.019835       0.408391
  -19931.000       0.044750       0.006965       0.410421
  -19930.000       0.044471      -0.006475       0.412351
  -19929.000       0.044194      -0.019072       0.414131
  -19928.000       0.043830      -0.029704       0.415715
  -19927.000       0.043495      -0.037625       0.417072
  -19926.000       0.043051      -0.041939       0.418161
  -19925.000       0.042564      -0.042460       0.418961
  -19924.000       0.042124      -0.039285       0.419459
  -19923.000       0.041538      -0.032633       0.419644
  -19922.000       0.040993      -0.023297       0.419518
  -19921.000       0.040417      -0.012174       0.419089
  -19920.000       0.039784      -0.000225       0.418365
  -19919.000       0.039135       0.011414       0.417366
  -19918.000       0.038494       0.021584       0.416117
  -19917.000       0.037826       0.029622       0.414640
  -19916.000       0.037117       0.034623       0.412973
  -19915.000       0.036414       0.036339       0.411151
  -19914.000       0.035683       0.034648       0.409213
  -19913.000       0.034989       0.029868       0.407209
  -19912.000       0.034144       0.022367       0.405184
  -19911.000       0.033426       0.013204       0.403190
  -19910.000       0.032633       0.003082       0.401281
  -19909.000       0.031778      -0.006875       0.399503
  -19908.000       0.030982      -0.015671       0.397897
  -19907.000       0.030141      -0.022566       0.396505
  -19906.000       0.029272      -0.026883       0.395358
  -19905.000       0.028418      -0.028301       0.394476
  -19904.000       0.027517      -0.026791       0.393878
  -19903.000       0.026681      -0.022724       0.393568
  -19902.000       0.025740      -0.016507       0.393544
  -19901.000       0.024886      -0.009035       0.393800
  -19900.000       0.024040      -0.001074       0.394323
  -19899.000       0.023122       0.006474       0.395092
  -19898.000       0.022336       0.012879       0.396086
  -19897.000       0.021459       0.017376       0.397277
  -19896.000       0.020678       0.019811       0.398631
  -19895.000       0.019852       0.019832       0.400113
  -19894.000       0.019054       0.017690       0.401685
  -19893.000       0.018352       0.013759       0.403304
  -19892.000       0.017570       0.008501       0.404932
  -19891.000       0.016843       0.002646       0.406525
  -19890.000       0.016249      -0.003089       0.408046
  -19889.000       0.015542      -0.008107       0.409463
  -19888.000       0.014985      -0.011799       0.410747
  -19887.000       0.014460      -0.013811       0.411876
  -19886.000       0.013985      -0.013951       0.412836
  -19885.000       0.013629      -0.012311       0.413613
  -19884.000       0.013255      -0.009036       0.414199
  -19883.000       0.013116      -0.004724       0.414592
  -19882.000       0.012985       0.000219       0.414789
  -19881.000       0.012931       0.005046       0.414790
  -19880.000       0.013070       0.009227       0.414598
  -19879.000       0.013218       0.012149       0.414218
  -19878.000       0.013521       0.013517       0.413656
  -19877.000       0.013818       0.012988       0.412928
  -19876.000       0.014250       0.010727       0.412049
  -19875.000       0.014750       0.006848       0.411039
  -19874.000       0.015198       0.001880       0.409925
  -19873.000       0.015794      -0.003676       0.408731
  -19872.000       0.016378      -0.009085       0.407485
  -19871.000       0.016942      -0.013690       0.406220
  -19870.000       0.017589      -0.016881       0.404961
  -19869.000       0.018197      -0.018164       0.403738
  -19868.000       0.018839      -0.017313       0.402577
  -19867.000       0.019499      -0.014331       0.401501
  -19866.000       0.020077      -0.009396       0.400530
  -19865.000       0.020816      -0.003103       0.399690
  -19864.000       0.021384       0.003970       0.398997
  -19863.000       0.022040       0.010959       0.398471
  -19862.000       0.022701       0.017072       0.398126
  -19861.000       0.023276       0.021545       0.397975
  -19860.000       0.023872       0.023831       0.398024
  -19859.000       0.024423       0.023563       0.398279
  -19858.000       0.024979       0.020681       0.398734
  -19857.000       0.025455       0.015440       0.399382
  -19856.000       0.025888       0.008341       0.400202
  -19855.000       0.026380       0.000126       0.401172
  -19854.000       0.026731      -0.008325       0.402261
  -19853.000       0.027060      -0.016093       0.403440
  -19852.000       0.027415      -0.022412       0.404674
  -19851.000       0.027641      -0.026441       0.405926
  -19850.000       0.027909      -0.027901       0.407164
  -19849.000       0.028038      -0.026438       0.408352
  -19848.000       0.028223      -0.022355       0.409462
  -19847.000       0.028330      -0.015901       0.410465
  -19846.000       0.028366      -0.007920       0.411335
  -19845.000       0.028423       0.000969       0.412049
  -19844.000       0.028419       0.009700       0.412585
  -19843.000       0.028346       0.017453       0.412922
  -19842.000       0.028264       0.023428       0.413048
  -19841.000       0.028148       0.027045       0.412954
  -19840.000       0.027922       0.027904       0.412637
  -19839.000       0.027713       0.026051       0.412104
  -19838.000       0.027437       0.021626       0.411366
  -19837.000       0.027113       0.015104       0.410442
  -19836.000       0.026728       0.007290       0.409361
  -19835.000       0.026301      -0.001099       0.408154
  -19834.000       0.025901      -0.009134       0.406859
  -19833.000       0.025338      -0.015925       0.405514
  -19832.000       0.024817      -0.020913       0.404157
  -19831.000       0.024273      -0.023531       0.402827
  -19830.000       0.023665      -0.023591       0.401564
  -19829.000       0.023001      -0.021144       0.400402
  -19828.000       0.022372      -0.016665       0.399379
  -19827.000       0.021680      -0.010500       0.398526
  -19826.000       0.020988      -0.003694       0.397869
  -19825.000       0.020243       0.003208       0.397432
  -19824.000       0.019542       0.009287       0.397233
  -19823.000       0.018800       0.013933       0.397280
  -19822.000       0.018015       0.016634       0.397580
  -19821.000       0.017309       0.017285       0.398122
  -19820.000       0.016521       0.015797       0.398889
  -19819.000       0.015772       0.012562       0.399861
  -19818.000       0.015026       0.008113       0.401004
  -19817.000       0.014306       0.002947       0.402279
  -19816.000       0.013613      -0.002134       0.403650
  -19815.000       0.012919      -0.006523       0.405074
  -19814.000       0.012316      -0.009704       0.406504
  -19813.000       0.011817      -0.011365       0.407907
  -19812.000       0.011266      -0.011182       0.409243
  -19811.000       0.010974      -0.009537       0.410478
  -19810.000       0.010717      -0.006417       0.411589
  -19809.000       0.010600      -0.002421       0.412547
  -19808.000       0.010630       0.001888       0.413332
  -19807.000       0.010744       0.005969       0.413930
  -19806.000       0.011088       0.009277       0.414325
  -19805.000       0.011396       0.011214       0.414511
  -19804.000       0.011903       0.011639       0.414488
  -19803.000       0.012493       0.010382       0.414253
  -19802.000       0.013122       0.007430       0.413814
  -19801.000       0.013841       0.003259       0.413190
  -19800.000       0.014582      -0.001757       0.412394
  -19799.000       0.015439      -0.007085       0.411451
  -19798.000       0.016248      -0.011907       0.410390
  -19797.000       0.017104      -0.015727       0.409235
  -19796.000       0.018037      -0.017998       0.408016
  -19795.000       0.018933      -0.018252       0.406762
  -19794.000       0.019848      -0.016351       0.405496
  -19793.000       0.020797      -0.012464       0.404244
  -19792.000       0.021751      -0.006691       0.403030
  -19791.000       0.022700       0.000234       0.401872
  -19790.000       0.023654       0.007713       0.400791
  -19789.000       0.024597       0.014945       0.399808
  -19788.000       0.025606       0.021145       0.398936
  -19787.000       0.026461       0.025422       0.398197
  -19786.000       0.027459       0.027444       0.397602
  -19785.000       0.028381       0.026667       0.397161
  -19784.000       0.029240       0.023038       0.396883
  -19783.000       0.030181       0.016929       0.396773
  -19782.000       0.031053       0.008684       0.396830
  -19781.000       0.031911      -0.000937       0.397054
  -19780.000       0.032772      -0.010871       0.397439
  -19779.000       0.033595      -0.020288       0.397975
  -19778.000       0.034464      -0.028182       0.398656
  -19777.000       0.035216      -0.033586       0.399469
  -19776.000       0.036029      -0.036029       0.400402
  -19775.000       0.036857      -0.035116       0.401444
  -19774.000       0.037556      -0.030701       0.402579
  -19773.000       0.038362      -0.023265       0.403792
  -19772.000       0.039057      -0.013376       0.405063
  -19771.000       0.039795      -0.001796       0.406374
  -19770.000       0.040445       0.010241       0.407702
  -19769.000       0.041087       0.021686       0.409024
  -19768.000       0.041755       0.031594       0.410315
  -19767.000       0.042312       0.038732       0.411544
  -19766.000       0.042861       0.042577       0.412687
  -19765.000       0.043465       0.042739       0.413719
  -19764.000       0.043901       0.038925       0.414613
  -19763.000       0.044407       0.031632       0.415349
  -19762.000       0.044848       0.021383       0.415908
  -19761.000       0.045226       0.008992       0.416269
  -19760.000       0.045616      -0.004390       0.416421
  -19759.000       0.045900      -0.017495       0.416354
  -19758.000       0.046248      -0.029364       0.416058
  -19757.000       0.046461      -0.038684       0.415533
  -19756.000       0.046654      -0.044687       0.414780
  -19755.000       0.046879      -0.046878       0.413802
  -19754.000       0.046992      -0.044871       0.412616
  -19753.000       0.047065      -0.038857       0.411241
  -19752.000       0.047129      -0.029446       0.409701
  -19751.000       0.047160      -0.017316       0.408033
  -19750.000       0.047057      -0.003616       0.406278
  -19749.000       0.047008       0.010313       0.404474
  -19748.000       0.046836       0.023379       0.402670
  -19747.000       0.046661       0.034222       0.400916
  -19746.000       0.046401       0.041861       0.399254
  -19745.000       0.046098       0.045624       0.397733
  -19744.000       0.045785       0.045203       0.396393
  -19743.000       0.045352       0.040578       0.395269
  -19742.000       0.044912       0.032340       0.394394
  -19741.000       0.044454       0.021352       0.393795
  -19740.000       0.043847       0.008515       0.393489
  -19739.000       0.043272      -0.004618       0.393491
  -19738.000       0.042626      -0.016996       0.393802
  -19737.000       0.041912      -0.027444       0.394410
  -19736.000       0.041158      -0.034964       0.395304
  -19735.000       0.040330      -0.039023       0.396454
  -19734.000       0.039570      -0.039529       0.397822
  -19733.000       0.038586      -0.036343       0.399372
  -19732.000       0.037682      -0.030234       0.401051
  -19731.000       0.036730      -0.021833       0.402810
  -19730.000       0.035652      -0.012011       0.404602
  -19729.000       0.034602      -0.001816       0.406375
  -19728.000       0.033495       0.007799       0.408083
  -19727.000       0.032319       0.016146       0.409688
  -19726.000       0.031174       0.022515       0.411151
  -19725.000       0.029896       0.026473       0.412440
  -19724.000       0.028716       0.028127       0.413532
  -19723.000       0.027411       0.027336       0.414402
  -19722.000       0.026106       0.024566       0.415039
  -19721.000       0.024879       0.020299       0.415434
  -19720.000       0.023513       0.014966       0.415581
  -19719.000       0.022227       0.009216       0.415485
  -19718.000       0.020960       0.003605       0.415158
  -19717.000       0.019691      -0.001531       0.414614
  -19716.000       0.018443      -0.005845       0.413879
  -19715.000       0.017298      -0.009087       0.412983
  -19714.000       0.016185      -0.011407       0.411956
  -19713.000       0.015188      -0.012739       0.410835
  -19712.000       0.014297      -0.013301       0.409657
  -19711.000       0.013555      -0.013327       0.408455
  -19710.000       0.013043      -0.013043       0.407263
  -19709.000       0.012645      -0.012477       0.406109
  -19708.000       0.012593      -0.011912       0.405015
  -19707.000       0.012720      -0.011187       0.404004
  -19706.000       0.013037      -0.010240       0.403089
  -19705.000       0.013684      -0.009052       0.402281
  -19704.000       0.014444      -0.007281       0.401593
  -19703.000       0.015312      -0.004873       0.401028
  -19702.000       0.016455      -0.001728       0.400592
  -19701.000       0.017547       0.002168       0.400284
  -19700.000       0.018809       0.006697       0.400102
  -19699.000       0.020093       0.011510       0.400039
  -19698.000       0.021437       0.016314       0.400086
  -19697.000       0.022792       0.020589       0.400230
  -19696.000       0.024171       0.023779       0.400459
  -19695.000       0.025557       0.025451       0.400755
  -19694.000       0.026976       0.025202       0.401105
  -19693.000       0.028324       0.022710       0.401498
  -19692.000       0.029732       0.018024       0.401923
  -19691.000       0.031119       0.011268       0.402372
  -19690.000       0.032427       0.002836       0.402842
  -19689.000       0.033767      -0.006587       0.403327
  -19688.000       0.035116      -0.016242       0.403828
  -19687.000       0.036325      -0.025269       0.404343
  -19686.000       0.037611      -0.032707       0.404870
  -19685.000       0.038825      -0.037827       0.405407
  -19684.000       0.040005      -0.039928       0.405950
  -19683.000       0.041183      -0.038682       0.406492
  -19682.000       0.042249      -0.033899       0.407027
  -19681.000       0.043429      -0.025967       0.407547
  -19680.000       0.044403      -0.015289       0.408041
  -19679.000       0.045437      -0.002801       0.408501
  -19678.000       0.046466       0.010510       0.408912
  -19677.000       0.047344       0.023463       0.409264
  -19676.000       0.048294       0.034931       0.409546
  -19675.000       0.049163       0.043757       0.409747
  -19674.000       0.049983       0.049157       0.409858
  -19673.000       0.050794       0.050502       0.409872
  -19672.000       0.051523       0.047519       0.409779
  -19671.000       0.052282       0.040389       0.409576
  -19670.000       0.052935       0.029589       0.409262
  -19669.000       0.053543       0.015942       0.408836
  -19668.000       0.054227       0.000627       0.408305
  -19667.000       0.054725      -0.015107       0.407678
  -19666.000       0.055279      -0.029886       0.406965
  -19665.000       0.055780      -0.042380       0.406187
  -19664.000       0.056226      -0.051441       0.405364
  -19663.000       0.056673      -0.056254       0.404520
  -19662.000       0.057017      -0.056195       0.403683
  -19661.000       0.057438      -0.051340       0.402881
  -19660.000       0.057718      -0.041870       0.402140
  -19659.000       0.058012      -0.028711       0.401491
  -19658.000       0.058281      -0.012851       0.400958
  -19657.000       0.058502       0.004247       0.400564
  -19656.000       0.058646       0.021111       0.400333
  -19655.000       0.058832       0.036223       0.400277
  -19654.000       0.058936       0.048237       0.400406
  -19653.000       0.058977       0.056053       0.400726
  -19652.000       0.059024       0.059010       0.401231
  -19651.000       0.059032       0.056844       0.401910
  -19650.000       0.058953       0.049697       0.402747
