Untuned age model for the LR04  stack

    age in kyr,    benthic d18O
  0.0000000e+000  2.5880349e+000
  9.7121784e-001  2.5878482e+000
  1.9424357e+000  2.5390140e+000
  2.9136535e+000  2.6464692e+000
  3.8848714e+000  2.6554928e+000
  4.8560892e+000  2.6244639e+000
  5.8273071e+000  2.6931652e+000
  6.7985249e+000  2.7270896e+000
  7.7697427e+000  2.7795417e+000
  8.7409606e+000  2.7446046e+000
  9.7121784e+000  2.8833603e+000
  1.0683396e+001  2.9633799e+000
  1.1654614e+001  3.2837401e+000
  1.2625832e+001  3.4153808e+000
  1.3597050e+001  3.6406785e+000
  1.4568268e+001  3.8546740e+000
  1.5539485e+001  4.1107883e+000
  1.6510703e+001  4.2412884e+000
  1.7481921e+001  4.3840084e+000
  1.8453139e+001  4.3162915e+000
  1.9424357e+001  4.3519030e+000
  2.0395575e+001  4.2745618e+000
  2.1366793e+001  4.2427660e+000
  2.2338010e+001  4.2188092e+000
  2.3309228e+001  4.1710937e+000
  2.4280446e+001  4.1786982e+000
  2.5251664e+001  4.0334376e+000
  2.6285839e+001  4.1088788e+000
  2.7320015e+001  4.1132745e+000
  2.8354190e+001  4.0913400e+000
  2.9388365e+001  3.9771217e+000
  3.0422541e+001  3.9837914e+000
  3.1456716e+001  3.9586361e+000
  3.2490891e+001  3.9389763e+000
  3.3525067e+001  3.9460736e+000
  3.4559242e+001  3.8988101e+000
  3.5593417e+001  3.8142930e+000
  3.6627593e+001  3.8161814e+000
  3.7661768e+001  3.7737804e+000
  3.8695943e+001  3.9145726e+000
  3.9730119e+001  3.9082584e+000
  4.0764294e+001  3.8744482e+000
  4.1798469e+001  3.8635085e+000
  4.2832645e+001  3.8229405e+000
  4.3866820e+001  3.8382246e+000
  4.4900995e+001  3.6886110e+000
  4.5935171e+001  3.7230788e+000
  4.6969346e+001  3.7412215e+000
  4.8003521e+001  3.8051049e+000
  4.9037697e+001  3.8219336e+000
  5.0071872e+001  3.7032545e+000
  5.1106047e+001  3.6935836e+000
  5.2140223e+001  3.6693702e+000
  5.3286460e+001  3.7964835e+000
  5.4432698e+001  3.7355909e+000
  5.5578935e+001  3.6668797e+000
  5.6725173e+001  3.7142805e+000
  5.7871410e+001  3.7873701e+000
  5.9017648e+001  3.8492881e+000
  6.0163885e+001  3.7873070e+000
  6.1310123e+001  3.9586705e+000
  6.2456361e+001  3.8727006e+000
  6.3602598e+001  3.9643935e+000
  6.4748836e+001  3.8912568e+000
  6.5895073e+001  3.7167556e+000
  6.7041311e+001  3.8406144e+000
  6.8187548e+001  3.9265783e+000
  6.9333786e+001  3.7989801e+000
  7.0480023e+001  3.7789193e+000
  7.1626261e+001  3.8279282e+000
  7.2772498e+001  3.6793444e+000
  7.3918736e+001  3.5846439e+000
  7.5064973e+001  3.5745965e+000
  7.6211211e+001  3.5891499e+000
  7.7357449e+001  3.3877266e+000
  7.8503686e+001  3.3126802e+000
  7.9649924e+001  3.4235863e+000
  8.0796161e+001  3.4374792e+000
  8.1942399e+001  3.4147391e+000
  8.2939075e+001  3.4109412e+000
  8.3935752e+001  3.2605117e+000
  8.4932428e+001  3.1836422e+000
  8.5929105e+001  3.1616986e+000
  8.6925781e+001  3.1879002e+000
  8.7922458e+001  3.1830867e+000
  8.8919134e+001  3.3134270e+000
  8.9915811e+001  3.4192054e+000
  9.0912487e+001  3.5401418e+000
  9.1909164e+001  3.4670631e+000
  9.2905840e+001  3.4370617e+000
  9.3902517e+001  3.4205550e+000
  9.4899193e+001  3.3932410e+000
  9.5895870e+001  3.3420767e+000
  9.6892546e+001  3.2644984e+000
  9.7889223e+001  3.2030009e+000
  9.8885899e+001  3.1260464e+000
  9.9882576e+001  3.1122145e+000
  1.0087925e+002  3.1921520e+000
  1.0187593e+002  3.2602584e+000
  1.0287261e+002  3.1408133e+000
  1.0386928e+002  3.1672386e+000
  1.0486596e+002  3.2753926e+000
  1.0586263e+002  3.2155533e+000
  1.0685931e+002  3.2357594e+000
  1.0785599e+002  3.2810528e+000
  1.0888784e+002  3.2092512e+000
  1.0991970e+002  3.3631243e+000
  1.1095155e+002  3.4042716e+000
  1.1198341e+002  3.4716413e+000
  1.1301526e+002  3.4820513e+000
  1.1404712e+002  3.3975392e+000
  1.1507897e+002  3.3848694e+000
  1.1611082e+002  3.3868283e+000
  1.1714268e+002  3.2945566e+000
  1.1817453e+002  3.1729789e+000
  1.1920639e+002  3.0688550e+000
  1.2023824e+002  2.9375333e+000
  1.2127010e+002  2.8988189e+000
  1.2230195e+002  2.8026373e+000
  1.2333381e+002  2.6575719e+000
  1.2436566e+002  2.6334607e+000
  1.2539752e+002  2.6161481e+000
  1.2642937e+002  2.5420249e+000
  1.2746122e+002  2.4608445e+000
  1.2849308e+002  2.6319638e+000
  1.2952493e+002  2.5014164e+000
  1.3055679e+002  2.5168740e+000
  1.3158864e+002  2.7314567e+000
  1.3262050e+002  3.0739611e+000
  1.3365235e+002  3.2634337e+000
  1.3468421e+002  3.0332329e+000
  1.3559848e+002  3.1680059e+000
  1.3651276e+002  3.5640155e+000
  1.3742703e+002  3.7684715e+000
  1.3834131e+002  4.0619630e+000
  1.3925558e+002  4.2189970e+000
  1.4016986e+002  4.1778758e+000
  1.4108414e+002  4.1563974e+000
  1.4199841e+002  4.2515467e+000
  1.4291269e+002  4.2272229e+000
  1.4382696e+002  4.3380155e+000
  1.4474124e+002  4.1729461e+000
  1.4565551e+002  4.1089552e+000
  1.4656979e+002  4.1440003e+000
  1.4748406e+002  4.1837384e+000
  1.4839834e+002  4.1045904e+000
  1.4931262e+002  4.1312026e+000
  1.5022689e+002  4.1755507e+000
  1.5114117e+002  4.0663677e+000
  1.5205544e+002  4.1102140e+000
  1.5296972e+002  4.1068823e+000
  1.5388399e+002  4.0234651e+000
  1.5479827e+002  3.9967354e+000
  1.5571254e+002  3.9833804e+000
  1.5662682e+002  4.0151362e+000
  1.5754110e+002  3.8747977e+000
  1.5845537e+002  4.1392709e+000
  1.5943431e+002  4.1013158e+000
  1.6041324e+002  4.0547428e+000
  1.6139218e+002  4.0207524e+000
  1.6237111e+002  4.0456006e+000
  1.6335005e+002  4.0120214e+000
  1.6432898e+002  4.0180360e+000
  1.6530792e+002  4.0580959e+000
  1.6628686e+002  4.0419466e+000
  1.6726579e+002  4.0385557e+000
  1.6824473e+002  3.8381460e+000
  1.6922366e+002  3.7663030e+000
  1.7020260e+002  3.8423481e+000
  1.7118153e+002  3.8552320e+000
  1.7216047e+002  3.8628871e+000
  1.7313940e+002  3.8931475e+000
  1.7411834e+002  3.8166931e+000
  1.7509728e+002  3.7374064e+000
  1.7607621e+002  3.6393295e+000
  1.7705515e+002  3.6839964e+000
  1.7803408e+002  3.7528540e+000
  1.7901302e+002  3.8238821e+000
  1.7999195e+002  3.7974617e+000
  1.8097089e+002  3.8415259e+000
  1.8194982e+002  3.7509610e+000
  1.8292876e+002  3.8164466e+000
  1.8390769e+002  3.8432408e+000
  1.8484227e+002  3.7271818e+000
  1.8577684e+002  3.7593219e+000
  1.8671142e+002  3.9453159e+000
  1.8764599e+002  3.8337924e+000
  1.8858056e+002  3.7623973e+000
  1.8951514e+002  3.8235497e+000
  1.9044971e+002  3.7491358e+000
  1.9138428e+002  3.6417026e+000
  1.9231886e+002  3.4905545e+000
  1.9325343e+002  3.1247511e+000
  1.9418800e+002  3.2807547e+000
  1.9512258e+002  3.2024846e+000
  1.9605715e+002  3.2653268e+000
  1.9699172e+002  3.1827051e+000
  1.9792630e+002  3.1007658e+000
  1.9886087e+002  3.1825134e+000
  1.9979544e+002  2.9322562e+000
  2.0073002e+002  2.8898049e+000
  2.0166459e+002  2.8893120e+000
  2.0259916e+002  2.9860607e+000
  2.0353374e+002  2.9682669e+000
  2.0446831e+002  3.1429650e+000
  2.0540288e+002  3.1846731e+000
  2.0633746e+002  3.1276857e+000
  2.0727203e+002  3.1449382e+000
  2.0820660e+002  3.0742065e+000
  2.0910231e+002  2.9991848e+000
  2.0999801e+002  2.9348271e+000
  2.1089371e+002  2.9602025e+000
  2.1178941e+002  2.9716651e+000
  2.1268511e+002  3.0132641e+000
  2.1358081e+002  2.9188786e+000
  2.1447652e+002  2.9025441e+000
  2.1537222e+002  2.8903519e+000
  2.1626792e+002  2.8437549e+000
  2.1716362e+002  3.0763485e+000
  2.1805932e+002  3.2981149e+000
  2.1895502e+002  3.3430419e+000
  2.1985073e+002  3.5935328e+000
  2.2074643e+002  3.7365740e+000
  2.2164213e+002  3.8013911e+000
  2.2253783e+002  3.7469031e+000
  2.2343353e+002  3.6445916e+000
  2.2432923e+002  3.6512486e+000
  2.2522494e+002  3.5509009e+000
  2.2612064e+002  3.5470335e+000
  2.2701634e+002  3.3825686e+000
  2.2791204e+002  3.6595442e+000
  2.2880774e+002  3.5773974e+000
  2.2970344e+002  3.5322487e+000
  2.3059915e+002  3.3314588e+000
  2.3149485e+002  3.2006237e+000
  2.3242724e+002  3.0745838e+000
  2.3335963e+002  3.0166485e+000
  2.3429202e+002  2.8278565e+000
  2.3522441e+002  2.8716674e+000
  2.3615681e+002  2.8001575e+000
  2.3708920e+002  2.8026674e+000
  2.3802159e+002  2.9012839e+000
  2.3895398e+002  3.0377711e+000
  2.3988637e+002  3.1375543e+000
  2.4081876e+002  3.4139726e+000
  2.4175116e+002  3.5261411e+000
  2.4268355e+002  3.7385384e+000
  2.4361594e+002  3.6662477e+000
  2.4454833e+002  3.7412649e+000
  2.4548072e+002  3.7193882e+000
  2.4641311e+002  3.8585085e+000
  2.4734551e+002  3.9369440e+000
  2.4827790e+002  3.9855056e+000
  2.4921029e+002  3.8802016e+000
  2.5014268e+002  3.9329995e+000
  2.5107507e+002  3.7260420e+000
  2.5200746e+002  3.7881243e+000
  2.5293986e+002  3.9144787e+000
  2.5387225e+002  3.8689236e+000
  2.5480464e+002  3.8782593e+000
  2.5573703e+002  3.8243592e+000
  2.5670450e+002  3.8757594e+000
  2.5767197e+002  3.8124495e+000
  2.5863944e+002  3.8180724e+000
  2.5960691e+002  3.7787348e+000
  2.6057438e+002  3.8005637e+000
  2.6154185e+002  3.8622150e+000
  2.6250932e+002  3.8630245e+000
  2.6347679e+002  3.6889307e+000
  2.6444426e+002  3.8817366e+000
  2.6541173e+002  3.8719210e+000
  2.6637920e+002  3.8616147e+000
  2.6734667e+002  3.7980636e+000
  2.6831414e+002  3.7956998e+000
  2.6928161e+002  3.7419849e+000
  2.7024909e+002  3.7390694e+000
  2.7121656e+002  3.6625021e+000
  2.7218403e+002  3.8018308e+000
  2.7315150e+002  3.6671893e+000
  2.7411897e+002  3.5933528e+000
  2.7508644e+002  3.5029241e+000
  2.7605391e+002  3.5709778e+000
  2.7702138e+002  3.3419242e+000
  2.7798885e+002  3.2345875e+000
  2.7895632e+002  3.2192371e+000
  2.7992379e+002  3.2014927e+000
  2.8089126e+002  3.1827866e+000
  2.8179607e+002  3.2485983e+000
  2.8270089e+002  3.3796692e+000
  2.8360570e+002  3.4231122e+000
  2.8451052e+002  3.4579398e+000
  2.8541533e+002  3.4724320e+000
  2.8632015e+002  3.6257706e+000
  2.8722496e+002  3.5782999e+000
  2.8812978e+002  3.6919596e+000
  2.8903459e+002  3.6706463e+000
  2.8993941e+002  3.5898307e+000
  2.9084422e+002  3.6572924e+000
  2.9174904e+002  3.5339888e+000
  2.9265385e+002  3.5883305e+000
  2.9355867e+002  3.3783557e+000
  2.9446348e+002  3.4203100e+000
  2.9536830e+002  3.4231699e+000
  2.9627311e+002  3.3575254e+000
  2.9717793e+002  3.4279825e+000
  2.9808274e+002  3.4333684e+000
  2.9898756e+002  3.4104910e+000
  2.9989237e+002  3.3579389e+000
  3.0079719e+002  3.2092764e+000
  3.0170200e+002  3.2225074e+000
  3.0260682e+002  3.1594950e+000
  3.0351163e+002  3.0557394e+000
  3.0441645e+002  3.1468099e+000
  3.0552822e+002  3.0525567e+000
  3.0664000e+002  3.1298144e+000
  3.0775177e+002  2.9774502e+000
  3.0886355e+002  3.0529760e+000
  3.0997533e+002  3.2486250e+000
  3.1108710e+002  3.1176900e+000
  3.1219888e+002  2.9365410e+000
  3.1331065e+002  3.0237668e+000
  3.1442243e+002  2.8882766e+000
  3.1553420e+002  2.8865670e+000
  3.1664598e+002  2.8304498e+000
  3.1775776e+002  2.5737625e+000
  3.1886953e+002  2.6690214e+000
  3.1998131e+002  2.5922155e+000
  3.2109308e+002  2.5799625e+000
  3.2220486e+002  2.5938462e+000
  3.2331663e+002  2.5523419e+000
  3.2442841e+002  2.6569002e+000
  3.2554019e+002  2.6474288e+000
  3.2665196e+002  2.7524945e+000
  3.2776374e+002  2.7416667e+000
  3.2887551e+002  2.8695629e+000
  3.2998729e+002  3.1073968e+000
  3.3109907e+002  3.4395789e+000
  3.3221084e+002  3.5909007e+000
  3.3332262e+002  3.5347501e+000
  3.3430686e+002  3.7791560e+000
