PP04_insolHuybersIntegrated_r_2_Multi_Run

Multi Run Parameters

Initial Conditions:
V: 0.000000, A: 0.000000, C: 0.800000

rbegin: 0.250000
rend: 0.750000
rsteps: 0.005000
refine: 0.010000

tstart: 0.000000
tfinal: 500.000000

%%%%%%%%%%%%%%%%%%%%%%%%%%%%

 0.25 123.667
 0.255 123
 0.26 119
 0.265 119.25
 0.27 123
 0.275 119.25
 0.28 119.25
 0.285 98.5
 0.29 98.25
 0.295 119.75
 0.3 103
 0.305 103
 0.31 123
 0.315 123
 0.32 123
 0.325 103
 0.33 103
 0.335 103
 0.34 103
 0.345 80.6667
 0.35 103
 0.355 103
 0.36 103
 0.365 94.75
 0.37 94.5
 0.375 94.75
 0.38 80.5
 0.385 83.6
 0.39 94.5
 0.395 94.5
 0.4 80.4
 0.405 101
 0.41 83.6
 0.415 81
 0.42 81.2
 0.425 81
 0.43 81
 0.435 81.2
 0.44 81
 0.445 81.2
 0.45 81.2
 0.455 81.2
 0.46 81.4
 0.465 81.5
 0.47 81.2
 0.475 81.4
 0.48 81.2
 0.485 81.4
 0.49 81.4
 0.495 81.4
 0.5 81.4
 0.505 81.2
 0.51 81.4
 0.515 81.4
 0.52 81.6
 0.525 81.4
 0.53 81.4
 0.535 81.4
 0.54 81.4
 0.545 81.3333
 0.55 81.6
 0.555 81.4
 0.56 81.4
 0.565 81.4
 0.57 81.2
 0.575 81.4
 0.58 81.4
 0.585 81.4
 0.59 81.4
 0.595 81.4
 0.6 81.4
 0.605 81.4
 0.61 81.4
 0.615 81.4
 0.62 81.4
 0.625 81.4
 0.63 81.4
 0.635 81.4
 0.64 81.2
 0.645 81.6
 0.65 81.4
 0.655 81.4
 0.66 81.6
 0.665 81.6
 0.67 81.6
 0.675 67.8333
 0.68 73.2
 0.685 81.6
 0.69 73.2
 0.695 73.2
 0.7 73.2
 0.705 73
 0.71 73
 0.715 73
 0.72 81.4
 0.725 81.4
 0.73 81.4
 0.735 81.4
 0.74 81.4
 0.745 81.4
 0.75 81.4
